Time,Amplitude
0.145,-4.09242904727261e-12
0.146,-2.79090871810994e-12
0.147,-1.48938838894726e-12
0.148,-3.8258468668763e-12
0.149,-2.52432653771362e-12
0.15,-1.22280620855094e-12
0.151,-3.55926468647998e-12
0.152,-2.2577443573173e-12
0.153,-9.56224028154624e-13
0.154,-3.29268250608366e-12
0.155,-1.99116217692098e-12
0.156,-6.89641847758306e-13
0.157,6.11878481404371e-13
0.158,-1.72457999652466e-12
0.159,-4.23059667361988e-13
0.16,8.78460661800689e-13
0.161,-1.45799781612835e-12
0.162,-1.5647748696567e-13
0.163,1.14504284219701e-12
0.164,-1.19141563573203e-12
0.165,1.10104693430649e-13
0.166,1.41162502259333e-12
0.167,-9.2483345533571e-13
0.168,3.76686873826967e-13
0.169,1.67820720298964e-12
0.17,-6.58251274939392e-13
0.171,6.43269054223285e-13
0.172,1.94478938338596e-12
0.173,-3.91669094543074e-13
0.174,9.09851234619603e-13
0.175,2.21137156378228e-12
0.176,-3.76306572123847e-12
0.177,-2.46154539207579e-12
0.178,-1.16002506291311e-12
0.179,-3.49648354084215e-12
0.18,-2.19496321167947e-12
0.181,-8.93442882516796e-13
0.182,-3.22990136044583e-12
0.183,-1.92838103128316e-12
0.184,-6.26860702120478e-13
0.185,-2.96331918004951e-12
0.186,-1.66179885088684e-12
0.187,-3.6027852172416e-13
0.188,-2.6967369996532e-12
0.189,-1.39521667049052e-12
0.19,-9.36963413278418e-14
0.191,-2.43015481925688e-12
0.192,-1.1286344900942e-12
0.193,1.72885839068476e-13
0.194,-2.16357263886056e-12
0.195,-8.62052309697883e-13
0.196,4.39468019464795e-13
0.197,-1.89699045846424e-12
0.198,-5.95470129301564e-13
0.199,7.06050199861113e-13
0.2,-1.63040827806792e-12
0.201,-3.28887948905246e-13
0.202,9.72632380257431e-13
0.203,-1.3638260976716e-12
0.204,-6.23057685089279e-14
0.205,1.23921456065375e-12
0.206,2.54073488981643e-12
0.207,2.0427641188739e-13
0.208,1.50579674105007e-12
0.209,-4.46864054397068e-12
0.21,-3.167120214808e-12
0.211,-1.86559988564533e-12
0.212,-4.20205836357436e-12
0.213,-2.90053803441169e-12
0.214,-1.59901770524901e-12
0.215,-3.93547618317805e-12
0.216,-2.63395585401537e-12
0.217,-1.33243552485269e-12
0.218,-3.0915195690014e-14
0.219,1.27060513347266e-12
0.22,-4.70383215154809e-12
0.221,-3.40231182238541e-12
0.222,-2.10079149322273e-12
0.223,-7.99271164060055e-13
0.224,5.02249165102622e-13
0.225,1.8037694942653e-12
0.226,-4.17066779075545e-12
0.227,-2.86914746159277e-12
0.228,-1.5676271324301e-12
0.229,-2.66106803267418e-13
0.23,1.03541352589526e-12
0.231,2.33693385505794e-12
0.232,-3.63750342996281e-12
0.233,-2.33598310080014e-12
0.234,-1.03446277163746e-12
0.235,2.67057557525218e-13
0.236,1.56857788668789e-12
0.237,2.87009821585057e-12
0.238,4.17161854501325e-12
0.239,-1.8028187400075e-12
0.24,-5.01298410844823e-13
0.241,-6.47573569586557e-12
0.242,-5.17421536670289e-12
0.243,-3.87269503754022e-12
0.244,-2.57117470837754e-12
0.245,-1.26965437921486e-12
0.246,3.18659499478138e-14
0.247,-5.94257133507294e-12
0.248,-4.64105100591026e-12
0.249,-3.33953067674758e-12
0.25,-2.0380103475849e-12
0.251,-7.36490018422227e-13
0.252,5.6503031074045e-13
0.253,1.86655063990313e-12
0.254,-4.10788664511762e-12
0.255,-2.80636631595494e-12
0.256,-1.50484598679227e-12
0.257,-2.03325657629591e-13
0.258,1.09819467153309e-12
0.259,2.39971500069576e-12
0.26,-3.57472228432499e-12
0.261,-2.27320195516231e-12
0.262,-9.71681625999631e-13
0.263,3.29838703163046e-13
0.264,1.63135903232572e-12
0.265,2.9328793614884e-12
0.266,-3.04155792353235e-12
0.267,-1.74003759436967e-12
0.268,-4.38517265206995e-13
0.269,8.63003063955682e-13
0.27,2.16452339311836e-12
0.271,3.46604372228104e-12
0.272,-2.50839356273971e-12
0.273,-1.20687323357704e-12
0.274,9.46470955856415e-14
0.275,1.39616742474832e-12
0.276,2.697687753911e-12
0.277,3.99920808307367e-12
0.278,-1.97522920194708e-12
0.279,-6.73708872784399e-13
0.28,6.27811456378278e-13
0.281,1.92933178554095e-12
0.282,3.23085211470363e-12
0.283,4.53237244386631e-12
0.284,5.83389277302899e-12
0.285,-1.40544511991763e-13
